surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
이,word,i,,"A person, This; tooth, teeth; two",,,A,14,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=15, 31, 1013, 2473, 5546; source_complexity=A, C; pos=관, 대, 의, 명, 수; classification=attributive, pronoun, noun, numeral; hanja_ref=신체, 二; senses=3"
아니다,word,anida,,To not be,,,A,16,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=17; source_complexity=A; pos=형; classification=adjective; senses=1
보다,word,boda,,"To see, to watch, to look at; to try out (+auxiliary); relatively, more",,,A,17,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=18, 22, 833; source_complexity=A; pos=동, 보, 부; classification=verb, auxiliary verb, adverb; hanja_ref=한층더; senses=3"
등,word,deung,,"rank; back, spine; 신체의일부",,,B,18,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=19, 972, 3064; source_complexity=B; pos=의, 명; classification=noun; hanja_ref=等, 신체의일부, 等.1~; senses=3"
때,word,ttae,,"occasion; time; dirt, especially dead skin produced by exfoliation",,,A,19,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=20, 4355; source_complexity=A, C; pos=명; classification=noun; hanja_ref=시간, 더러운물질; senses=2"
거,word,geo,,thing,,,A,20,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=21, 2817; source_complexity=A; pos=의, 대; classification=noun, pronoun; hanja_ref=것; senses=1"
같다,word,gatda,,To be similar,,,A,22,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=23; source_complexity=A; pos=형; classification=adjective; senses=1
주다,word,juda,,"To give, to do for a person",,,A,23,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=24, 102; source_complexity=A; pos=보, 동; classification=auxiliary verb, verb; senses=1"
대하다,word,daehada,,"Face, confront",,,B,24,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=25; source_complexity=B; pos=동; classification=verb; hanja_ref=對-; senses=1
가다,word,gada,,To go,,,A,25,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=26, 151; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; senses=1"
년,word,nyeon,,Year,,,A,26,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=27; source_complexity=A; pos=의; classification=noun; hanja_ref=年; senses=1
한,word,han,,"One, a single; limit; end; bound; deep-seated resentment",,,A,27,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=28, 999, 3286; source_complexity=A, C; pos=관, 명; classification=attributive, noun; hanja_ref=限, 恨; senses=3"
말,word,mal,,"words,speaking; end (of a period); late; horse",,,A,28,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=29, 755, 2413; source_complexity=A, B; pos=명, 의; classification=noun; hanja_ref=~과글, 末, 동물; senses=3"
일,word,il,,Work; day; one,,,A,29,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=30, 42, 5089; source_complexity=A; pos=명, 의, 수; classification=noun, numeral; hanja_ref=하루, 一; senses=3"
때문,word,ttaemun,,Because of,,,A,31,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=32; source_complexity=A; pos=의; classification=noun; senses=1
말하다,word,malhada,,Speak,,,A,32,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=33; source_complexity=A; pos=동; classification=verb; senses=1
위하다,word,wihada,,To do for the sake of,,,B,33,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=34; source_complexity=B; pos=동; classification=verb; hanja_ref=爲-; senses=1
그러나,word,geureona,,However or but still,,,A,34,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=35; source_complexity=A; pos=부; classification=adverb; senses=1
오다,word,oda,,To come,,,A,35,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=36, 72; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; senses=1"
알다,word,alda,,To know,,,A,36,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=37; source_complexity=A; pos=동; classification=verb; senses=1
씨,word,ssi,,"~ Mr.; seed, kernel",,,A,37,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=38, 3030; source_complexity=A, B; pos=의, 명; classification=noun; hanja_ref=氏, ~를심다; senses=2"
그렇다,word,geureohda,,That is right or yes.,,,A,38,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=39; source_complexity=A; pos=형; classification=adjective; senses=1
크다,word,keuda,,"To be big, large",,,A,39,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=40, 2503; source_complexity=A; pos=형, 동; classification=adjective, verb; senses=1"
또,word,tto,,"also, too",,,A,40,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=41; source_complexity=A; pos=부; classification=adverb; senses=1
사회,word,sahoe,,"culture,society",,,B,42,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=43; source_complexity=B; pos=명; classification=noun; hanja_ref=社會; senses=1
많다,word,manhda,,"many, much",,,A,43,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=44; source_complexity=A; pos=형; classification=adjective; senses=1
안,word,an,,"~ not ~ + VERB; idea, suggestion, opinion, thought",,,A,44,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=45, 119, 5213; source_complexity=A, C; pos=부, 명; classification=adverb, noun; hanja_ref=아니, 집~, 案; senses=2"
좋다,word,johda,,To be good,,,A,45,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=46; source_complexity=A; pos=형; classification=adjective; senses=1
더,word,deo,,More,,,A,46,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=47; source_complexity=A; pos=부; classification=adverb; senses=1
받다,word,batda,,Receive,,,A,47,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=48; source_complexity=A; pos=동; classification=verb; hanja_ref=선물을~; senses=1
그것,word,geugeos,,That thing,,,A,48,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=49; source_complexity=A; pos=대; classification=pronoun; senses=1
집,word,jip,,House,,,A,49,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=50; source_complexity=A; pos=명; classification=noun; senses=1
나오다,word,naoda,,Come out,,,A,50,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=51; source_complexity=A; pos=동; classification=verb; senses=1
따르다,word,ttareuda,,follow; to pour,,,B,51,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=52, 2846; source_complexity=B; pos=동; classification=verb; hanja_ref=뒤를~, 물을~; senses=2"
그리고,word,geurigo,,And or and then,,,A,52,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=53; source_complexity=A; pos=부; classification=adverb; senses=1
문제,word,munje,,"question,problem",,,A,53,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=54; source_complexity=A; pos=명; classification=noun; hanja_ref=問題; senses=1
그런,word,geureon,,Such a,,,B,54,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=55; source_complexity=B; pos=관; classification=attributive; senses=1
살다,word,salda,,To live,,,A,55,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=56; source_complexity=A; pos=동; classification=verb; senses=1
저,word,jeo,,That,,,A,56,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=57, 451, 1719, 5092; source_complexity=A, B; pos=대, 관, 감; classification=pronoun, attributive, interjection; hanja_ref=일인칭대명사, 멀리있는대상; senses=1"
못하다,word,moshada,,Be impossible,,,A,57,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=58, 485, 3438; source_complexity=A; pos=보, 동, 형; classification=auxiliary verb, verb, adjective; senses=1"
생각하다,word,saenggakhada,,To think,,,A,58,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=59; source_complexity=A; pos=동; classification=verb; senses=1
모르다,word,moreuda,,To not know,,,A,59,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=60; source_complexity=A; pos=동; classification=verb; senses=1
속,word,sok,,The inside,,,A,60,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=61; source_complexity=A; pos=명; classification=noun; senses=1
만들다,word,mandeulda,,To make,,,A,61,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=62; source_complexity=A; pos=동; classification=verb; senses=1
데,word,de,,"Place, point, instance",,,B,62,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=63; source_complexity=B; pos=의; classification=noun; senses=1
두,word,du,,two,,,A,63,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=64; source_complexity=A; pos=관; classification=attributive; senses=1
앞,word,ap,,"In front of, before",,,A,64,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=65; source_complexity=A; pos=명; classification=noun; senses=1
경우,word,gyeongu,,A case or an instance,,,B,65,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=66; source_complexity=B; pos=명; classification=noun; hanja_ref=境遇; senses=1
중,word,jung,,"The center, the middle",,,B,66,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=67; source_complexity=B; pos=의; classification=noun; hanja_ref=中; senses=1
어떤,word,eotteon,,"What kind of, what sort of",,,A,67,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=68; source_complexity=A; pos=관; classification=attributive; senses=1
잘,word,jal,,Well,,,A,68,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=69; source_complexity=A; pos=부; classification=adverb; senses=1
그녀,word,geunyeo,,She,,,C,69,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=70; source_complexity=C; pos=대; classification=pronoun; hanja_ref=-女; senses=1
먹다,word,meokda,,"Eat, chow down on; to make up (one's mind), to be determined; be deaf, to lose one's hearing",,,A,70,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=71, 3436, 5608; source_complexity=A, C; pos=동, 보; classification=verb, auxiliary verb; hanja_ref=밥을~, 잊어~, 귀를~; senses=3"
자신,word,jasin,,"one’s own self, one\’s own body; confidence",,,B,72,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=73, 1978; source_complexity=B; pos=명; classification=noun; hanja_ref=自身, 自信; senses=2"
문화,word,munhwa,,culture,,,B,73,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=74; source_complexity=B; pos=명; classification=noun; hanja_ref=文化; senses=1
원,word,won,,"A unit of south korean money, KRW; circle",,,A,74,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=75, 4389, 4909; source_complexity=A, C; pos=의, 명, 감; classification=noun, interjection; hanja_ref=화폐단위, 圓.~을그리다; senses=2"
생각,word,saenggak,,Thought,,,A,75,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=76; source_complexity=A; pos=명; classification=noun; senses=1
어떻다,word,eotteohda,,"how,what.. do you think of",,,A,76,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=77; source_complexity=A; pos=형; classification=adjective; senses=1
명,word,myeong,,Person counter,,,A,77,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=78; source_complexity=A; pos=의; classification=noun; hanja_ref=名.한~; senses=1
통하다,word,tonghada,,"Run, lead; flow; go through",,,B,78,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=79; source_complexity=B; pos=동; classification=verb; hanja_ref=通-; senses=1
그러다,word,geureoda,,"and so, and then, well",,,C,79,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=80; source_complexity=C; pos=동; classification=verb; senses=1
소리,word,sori,,"A sound,noise",,,B,80,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=81; source_complexity=B; pos=명; classification=noun; senses=1
다시,word,dasi,,Again,,,A,81,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=82; source_complexity=A; pos=부; classification=adverb; senses=1
다른,word,dareun,,Different,,,A,82,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=83; source_complexity=A; pos=관; classification=attributive; senses=1
이런,word,ireon,,"Such, like this",,,A,83,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=84; source_complexity=A; pos=관; classification=attributive; senses=1
여자,word,yeoja,,"woman,female",,,A,84,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=85; source_complexity=A; pos=명; classification=noun; hanja_ref=女子; senses=1
개,word,gae,,Unit or piece; dog,,,A,85,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=86, 1481; source_complexity=A; pos=의, 명; classification=noun; hanja_ref=個, 동물; senses=2"
정도,word,jeongdo,,"grade,degree",,,B,86,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=87; source_complexity=B; pos=명; classification=noun; hanja_ref=程度; senses=1
뒤,word,dwi,,"back, latter, rear",,,A,87,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=88; source_complexity=A; pos=명; classification=noun; senses=1
듣다,word,deutda,,"to listen, to hear",,,A,88,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=89; source_complexity=A; pos=동; classification=verb; hanja_ref=소리를~; senses=1
다,word,da,,"All, everything",,,A,89,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=90, 3656; source_complexity=A; pos=부, 명; classification=adverb, noun; senses=1"
좀,word,jom,,A little,,,A,90,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=91; source_complexity=A; pos=부; classification=adverb; hanja_ref=조금; senses=1
들다,word,deulda,,"to enter/go into ; stay at hotel or inn; to hold, to carry; to give; Means continuing the main verb’s action ; to enter/go into ; to hold, to carry",,,A,91,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=92, 131, 2845; source_complexity=A, B; pos=동, 보; classification=verb, auxiliary verb; hanja_ref=여관에~, 꽃을~, 따지고~; senses=3"
싶다,word,sipda,,"want,hope",,,A,92,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=93; source_complexity=A; pos=보; classification=auxiliary verb; senses=1
보이다,word,boida,,"see,catch sight of; to show, to cause to see",,,B,93,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=94, 169; source_complexity=B; pos=동; classification=verb; hanja_ref=보다'의피동사, 보다'의사동사; senses=2"
가지다,word,gajida,,To have or take or hold,,,A,94,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=95, 503; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; senses=1"
함께,word,hamkke,,"Together, with",,,A,95,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=96; source_complexity=A; pos=부; classification=adverb; senses=1
아이,word,ai,,Child,,,A,96,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=97, 3120; source_complexity=A, B; pos=명, 감; classification=noun, interjection; senses=1"
지나다,word,jinada,,"pass,elapse,go on",,,B,97,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=98; source_complexity=B; pos=동; classification=verb; senses=1
많이,word,manhi,,A lot,,,A,98,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=99; source_complexity=A; pos=부; classification=adverb; senses=1
시간,word,sigan,,Time,,,A,99,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=100, 538; source_complexity=A; pos=명, 의; classification=noun; hanja_ref=時間; senses=1"
너,word,neo,,You,,,A,100,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=101; source_complexity=A; pos=대; classification=pronoun; senses=1
인간,word,ingan,,"A person, a human being",,,B,102,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=103; source_complexity=B; pos=명; classification=noun; hanja_ref=人間; senses=1
사실,word,sasil,,"The truth, a fact",,,B,103,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=104, 652; source_complexity=B; pos=명, 부; classification=noun, adverb; hanja_ref=事實; senses=1"
나다,word,nada,,To be born,,,A,104,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=105, 318; source_complexity=A, B; pos=동, 보; classification=verb, auxiliary verb; senses=1"
이렇다,word,ireohda,,Like this,,,A,105,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=106; source_complexity=A; pos=형; classification=adjective; senses=1
어머니,word,eomeoni,,Mom,,,A,106,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=107; source_complexity=A; pos=명; classification=noun; senses=1
눈,word,nun,,Eyes; snow,,,A,107,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=108, 1421; source_complexity=A; pos=명; classification=noun; hanja_ref=신체의일부, ~이내리다; senses=2"
뭐,word,mwo,,Huh? (2) something,,,A,108,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=109, 340; source_complexity=A; pos=대, 감; classification=pronoun, interjection; senses=1"
점,word,jeom,,"point, spot; a point or spot",,,B,109,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=110, 1487; source_complexity=B; pos=명, 의; classification=noun; hanja_ref=點; senses=2"
의하다,word,uihada,,"To be due to, owing to",,,B,110,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=111; source_complexity=B; pos=동; classification=verb; hanja_ref=依-; senses=1
시대,word,sidae,,"An age,period",,,B,111,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=112; source_complexity=B; pos=명; classification=noun; hanja_ref=時代; senses=1
다음,word,daeum,,Next,,,A,112,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=113; source_complexity=A; pos=명; classification=noun; senses=1
이러하다,word,ireohada,,"Be this way, be like follows",,,B,113,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=114; source_complexity=B; pos=형; classification=adjective; senses=1
누구,word,nugu,,Who,,,A,114,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=115; source_complexity=A; pos=대; classification=pronoun; senses=1
전,word,jeon,,Before; whole; entire,,,A,115,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=116, 522, 690; source_complexity=A, C; pos=명, 관; classification=noun, attributive; hanja_ref=前, 全.~국민; senses=2"
곳,word,gos,,a,,,A,116,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=117; source_complexity=A; pos=명; classification=noun; senses=1
여러,word,yeoreo,,"many,various",,,A,117,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=118; source_complexity=A; pos=관; classification=attributive; senses=1
하나,word,hana,,One,,,A,119,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=120, 243; source_complexity=A; pos=수, 명; classification=numeral, noun; senses=1"
세계,word,segye,,World,,,B,120,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=121; source_complexity=B; pos=명; classification=noun; hanja_ref=世界; senses=1
버리다,word,beorida,,"(following a verb) the verb\’s action is over, perhaps in a sad way",,,A,121,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=122, 683; source_complexity=A, B; pos=보, 동; classification=auxiliary verb, verb; senses=1"
위,word,wi,,"The upper part, above; status, position; stomach",,,A,122,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=123, 1166, 5153; source_complexity=A, C; pos=명, 의; classification=noun; hanja_ref=~아래, 位, 胃; senses=3"
운동,word,undong,,"Motion, movement",,,A,123,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=124; source_complexity=A; pos=명; classification=noun; hanja_ref=運動; senses=1
퍼센트,word,peosenteu,,Percent,,,A,124,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=125; source_complexity=A; pos=의; classification=noun; hanja_ref=percent; senses=1
학교,word,hakgyo,,School,,,A,125,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=126; source_complexity=A; pos=명; classification=noun; hanja_ref=學校; senses=1
자기,word,jagi,,"Oneself, number one, numerouno, self",,,B,126,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=127, 421; source_complexity=B; pos=대, 명; classification=pronoun, noun; hanja_ref=自己; senses=1"
가장,word,gajang,,Most; head of a family,,,A,127,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=128, 3102; source_complexity=A, C; pos=부, 명; classification=adverb, noun; hanja_ref=家長; senses=2"
대통령,word,daetongryeong,,The president,,,B,128,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=129; source_complexity=B; pos=명; classification=noun; hanja_ref=大統領; senses=1
가지,word,gaji,,One of the kind or a sort; eggplant/aubergine,,,B,129,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=130, 1961; source_complexity=B; pos=의, 명; classification=noun; hanja_ref=한~, ~를치다; senses=2"
시작하다,word,sijakhada,,"To start,begin",,,A,131,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=132; source_complexity=A; pos=동; classification=verb; hanja_ref=始作-; senses=1
바로,word,baro,,"Right, correctly",,,A,132,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=133; source_complexity=A; pos=부; classification=adverb; senses=1
어느,word,eoneu,,"Some, a certain",,,A,133,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=134; source_complexity=A; pos=관; classification=attributive; senses=1
그래서,word,geuraeseo,,And so accordingly,,,A,134,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=135, 5401; source_complexity=A; pos=부, 불; classification=adverb, expression; hanja_ref=그리하여서; senses=1"
무엇,word,mueos,,"That thing,whatever",,,A,135,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=136; source_complexity=A; pos=대; classification=pronoun; senses=1
정부,word,jeongbu,,Government,,,C,136,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=137; source_complexity=C; pos=명; classification=noun; hanja_ref=政府; senses=1
모든,word,modeun,,Every one,,,A,137,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=138; source_complexity=A; pos=관; classification=attributive; senses=1
번,word,beon,,"Number, how many times",,,A,138,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=139; source_complexity=A; pos=의; classification=noun; hanja_ref=番; senses=1
그거,word,geugeo,,That thing,,,A,139,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=140; source_complexity=A; pos=대; classification=pronoun; senses=1
돈,word,don,,Money,,,A,140,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=141; source_complexity=A; pos=명; classification=noun; senses=1
국가,word,gukga,,A state or a nation,,,B,141,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=142; source_complexity=B; pos=명; classification=noun; hanja_ref=國家; senses=1
그런데,word,geureonde,,But or however,,,A,142,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=143; source_complexity=A; pos=부; classification=adverb; senses=1
날,word,nal,,Day,,,A,143,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=144; source_complexity=A; pos=명; classification=noun; hanja_ref=어느~; senses=1
여기,word,yeogi,,A hobby,,,A,144,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=145; source_complexity=A; pos=대; classification=pronoun; senses=1
모두,word,modu,,Everybody,,,A,145,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=146, 687; source_complexity=A; pos=부, 명; classification=adverb, noun; senses=1"
여성,word,yeoseong,,Female,,,B,146,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=147; source_complexity=B; pos=명; classification=noun; hanja_ref=女性; senses=1
동무,word,dongmu,,A friend,,,A,147,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=148; source_complexity=A; pos=명; classification=noun; hanja_ref=同-; senses=1
마음,word,maeum,,Heart,,,A,148,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=149; source_complexity=A; pos=명; classification=noun; senses=1
후,word,hu,,After,,,A,149,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=150; source_complexity=A; pos=명; classification=noun; hanja_ref=後; senses=1
놓다,word,nohda,,"Put, place",,,A,151,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=152, 409; source_complexity=A; pos=보, 동; classification=auxiliary verb, verb; senses=1"
관계,word,gwangye,,Connection or relation,,,B,152,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=153; source_complexity=B; pos=명; classification=noun; hanja_ref=關係; senses=1
아버지,word,abeoji,,Father,,,A,153,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=154; source_complexity=A; pos=명; classification=noun; senses=1
남자,word,namja,,Boy,,,A,154,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=155; source_complexity=A; pos=명; classification=noun; hanja_ref=男子; senses=1
